"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,62,"CZE","Czech Republic",1,"Ústecký",1,"Ústí nad Labem","CZ.UK.UL",NA,"","Okres","District","",""
2,62,"CZE","Czech Republic",1,"Ústecký",2,"Chomutov","CZ.UK.CV",NA,"","Okres","District","",""
3,62,"CZE","Czech Republic",1,"Ústecký",3,"Decín","CZ.UK.DC",NA,"","Okres","District","",""
4,62,"CZE","Czech Republic",1,"Ústecký",4,"Litomerice","CZ.UK.LT",NA,"","Okres","District","",""
5,62,"CZE","Czech Republic",1,"Ústecký",5,"Louny","CZ.UK.LN",NA,"","Okres","District","",""
6,62,"CZE","Czech Republic",1,"Ústecký",6,"Most","CZ.UK.MO",NA,"","Okres","District","",""
7,62,"CZE","Czech Republic",1,"Ústecký",7,"Teplice","CZ.UK.TP",NA,"","Okres","District","",""
8,62,"CZE","Czech Republic",2,"Jihoceský",8,"Ceské Budejovice","CZ.CK.CB",NA,"","Okres","District","",""
9,62,"CZE","Czech Republic",2,"Jihoceský",9,"Ceský Krumlov","CZ.CK.CK",NA,"","Okres","District","",""
10,62,"CZE","Czech Republic",2,"Jihoceský",10,"Jindrichuv Hradec","CZ.CK.JH",NA,"","Okres","District","",""
11,62,"CZE","Czech Republic",2,"Jihoceský",11,"Písek","CZ.CK.PI",NA,"","Okres","District","",""
12,62,"CZE","Czech Republic",2,"Jihoceský",12,"Prachatice","CZ.CK.PT",NA,"","Okres","District","",""
13,62,"CZE","Czech Republic",2,"Jihoceský",13,"Strakonice","CZ.CK.ST",NA,"","Okres","District","",""
14,62,"CZE","Czech Republic",2,"Jihoceský",14,"Tábor","CZ.CK.TA",NA,"","Okres","District","",""
15,62,"CZE","Czech Republic",3,"Jihomoravský",15,"Breclav","CZ.BK.BV",NA,"","Okres","District","",""
16,62,"CZE","Czech Republic",3,"Jihomoravský",16,"Blansko","CZ.BK.BK",NA,"","Okres","District","",""
17,62,"CZE","Czech Republic",3,"Jihomoravský",17,"Brno-Venkov","CZ.BK.BO",NA,"","Okres","District","",""
18,62,"CZE","Czech Republic",3,"Jihomoravský",18,"Brno","CZ.BK.BM",NA,"","Statutární mesto","Statutory city","",""
19,62,"CZE","Czech Republic",3,"Jihomoravský",19,"Hodonín","CZ.BK.HO",NA,"","Okres","District","",""
20,62,"CZE","Czech Republic",3,"Jihomoravský",20,"Vyškov","CZ.BK.VY",NA,"","Okres","District","",""
21,62,"CZE","Czech Republic",3,"Jihomoravský",21,"Znojmo","CZ.BK.ZN",NA,"","Okres","District","",""
22,62,"CZE","Czech Republic",4,"Karlovarský",22,"Cheb","CZ.KK.CH",NA,"","Okres","District","",""
23,62,"CZE","Czech Republic",4,"Karlovarský",23,"Karlovy Vary","CZ.KK.KV",NA,"","Okres","District","",""
24,62,"CZE","Czech Republic",4,"Karlovarský",24,"Sokolov","CZ.KK.SO",NA,"","Okres","District","",""
25,62,"CZE","Czech Republic",5,"Královéhradecký",25,"Hradec Králové","CZ.HK.HK",NA,"","Okres","District","",""
26,62,"CZE","Czech Republic",5,"Královéhradecký",26,"Jicín","CZ.HK.JC",NA,"","Okres","District","",""
27,62,"CZE","Czech Republic",5,"Královéhradecký",27,"Náchod","CZ.HK.NA",NA,"","Okres","District","",""
28,62,"CZE","Czech Republic",5,"Královéhradecký",28,"Rychnov nad Knežnou","CZ.HK.RK",NA,"","Okres","District","",""
29,62,"CZE","Czech Republic",5,"Královéhradecký",29,"Trutnov","CZ.HK.TU",NA,"","Okres","District","",""
